src,dst,weight
0,43,1
0,284,1
0,487,1
0,691,1
0,745,1
0,1385,1
0,2345,1
0,2698,1
0,4190,1
1,44,1
1,235,1
1,280,1
1,308,1
1,564,1
1,747,1
1,820,1
1,1569,1
1,4079,1
1,4106,1
1,4208,1
1,5079,1
1,5967,1
1,6450,1
1,7548,1
2,2,1
2,240,1
2,994,1
2,2551,1
2,5244,1
2,7043,1
3,3,7
3,170,2
3,2020,1
3,7744,3
3,7829,2
4,4,1
4,43,2
4,125,1
4,141,1
4,190,1
4,193,1
4,196,1
4,235,1
4,462,1
4,970,1
4,2345,1
4,2760,1
4,2963,1
4,3004,1
4,3234,1
4,6545,1
4,7658,1
5,125,1
5,509,1
5,515,2
5,793,1
5,975,1
5,1819,1
5,1938,1
5,2124,1
5,2223,2
5,2345,1
5,5326,2
6,6,2
6,94,1
6,107,1
6,122,1
6,123,1
6,334,1
6,1677,1
6,2446,1
6,2935,1
6,2975,1
6,3468,1
6,4520,1
6,4996,1
6,6192,1
6,7055,2
7,200,1
7,1442,1
7,1790,1
7,2908,1
7,4839,1
7,5483,1
7,5660,1
7,6029,1
8,8,2
8,88,1
8,347,1
8,747,1
8,994,1
8,1648,1
8,2898,1
8,2909,1
8,3275,1
8,3422,1
8,3846,1
8,6162,1
8,7056,1
8,7760,3
9,43,2
9,2146,1
9,5029,1
9,7597,1
10,44,1
10,773,2
10,1014,1
10,1165,1
10,1417,1
10,1867,1
10,5195,1
10,5395,1
11,163,1
11,239,1
11,1514,1
11,1828,1
11,2081,1
11,3039,1
11,5673,1
12,16,1
12,71,1
12,332,1
12,359,1
12,2423,1
12,3060,1
13,339,1
13,582,1
13,735,1
13,2809,1
13,4294,1
13,7245,1
14,43,2
14,97,4
14,107,1
14,300,1
14,397,2
14,930,1
14,2596,1
14,2952,1
14,3821,1
14,5573,1
14,6842,1
14,7190,2
15,270,1
15,644,1
15,766,1
15,1068,1
15,1442,1
15,3056,1
15,3398,1
15,3923,1
15,5446,1
15,5592,1
16,107,1
16,832,1
16,1426,1
16,2633,1
16,2902,1
16,3769,1
16,4247,1
16,4433,1
16,7315,1
17,43,1
17,143,1
17,705,1
17,5437,1
18,18,5
18,235,1
18,265,1
18,644,1
18,2009,1
18,2105,1
18,2491,1
18,2902,8
18,3360,1
18,4104,1
18,5816,1
18,7334,1
19,19,4
19,143,2
19,159,1
19,185,1
19,591,2
19,644,1
19,1458,1
19,2003,1
19,2233,8
19,2773,1
19,2932,5
19,2994,1
19,3355,1
19,3945,5
19,4697,1
19,5198,1
19,6366,2
19,7780,1
20,110,1
20,191,1
20,304,1
20,1343,1
20,1355,1
20,3408,1
20,5172,1
